"name","Placement","points","MPoint"
"DarkZero","1","70","Winner"
"Furia","2","85","Yes"
"100T","3","75","Yes"
"FNC","4","74","Yes"
"GMT","5","68","Yes"
"SSG","6","68","Yes"
"TSM","7","64","No"
"Alliance","8","149","Yes"
"NRG","9","55","Yes"
"αD","10","54","Yes"
"Scarz","11","53","No"
"Team Liquid","12","50","No"
"EXO","13","48","No"
"AYM","14","46","No"
"C9","15","40","No"
"Optic Gaming","16","38","No"
"Burger","17","31","No"
"ZETA","18","29","No"
"IG","19","26","No"
"ACEND","20","16","No"
